,ID,name,smiles,output
604,605,NITROFURANTOIN,[O-][N+](=O)c1oc(C=NN2CC(=O)NC2=O)cc1,0
527,528,METACLAZEPAM,CN1c2ccc(cc2C(=NCC1COC)c3ccccc3Cl)Br,1
893,894,TRICLOFOSSODIUM,OP(=O)(O)OCC(Cl)(Cl)Cl,0
195,196,CIPROFIBRATE,CC(C)(Oc1ccc(cc1)C2CC2(Cl)Cl)C(=O)O,0
422,423,HYDROFLUMETHIAZIDE,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1C(F)(F)F,0
924,925,VITAMINAPALMITATE,CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,0
553,554,MIANSERIN,CN1CCN2c3ccccc3Cc4ccccc4C2C1,1
223,224,CROMOLYNSODIUM,OC(COc1cccc2OC(=CC(=O)c12)C(=O)O)COc3cccc4OC(=CC(=O)c34)C(=O)O,0
723,724,PROGLUMETACIN,CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CCOC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c4ccc(OC)cc24)CC1)NC(=O)c5ccccc5,0
248,249,DEXRAZOXANE,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,0
